Reaction,Barrier,TS_L,TS_R,Charge_L,Charge_R,RCP_density,RCP_laplacian,67_density,67_laplacian,67_elipticity,67_delocalized,ccp_density,ccp_laplacian,localized_L,localized_R
reactD,23.42930676,2.206278278,2.203633292,,,,,,,,,,,,
reactD10MVc,23.30446641,2.208750484,2.20854574,,,,,,,,,,,,
reactD-10MVc,23.05144971,2.201030982,2.201134148,,,,,,,,,,,,
reactDp10MVc,23.18916695,2.213154607,2.197196959,,,,,,,,,,,,
reactDp-10MVc,23.19062478,2.198522532,2.21091656,,,,,,,,,,,,
reactDl10MVc,23.21284184,2.211076858,2.205540046,,,,,,,,,,,,
reactDl-10MVc,23.06437402,2.19868454,2.204139567,,,,,,,,,,,,
reactC_endonoField,19.62901875,2.087836341,2.34969165,0.0098,0.0539,0.049657,0.308729,0.353487,-1.096256,0.299,1.7593,0.005759,0.025269,3.9931,3.9165
reactC_endo10MVc,21.35993585,2.099118841,2.333488894,0.0026,0.0583,0.04958,0.308285,0.353926,-1.099667,0.2956,1.7699,0.004785,0.020389,4.0055,3.9161
reactC_endo-10MVc,17.79766411,2.081382439,2.362865329,0.0079,0.0565,0.049679,0.308658,0.353391,-1.095597,0.2994,1.7556,0.006034,0.026681,3.9932,3.9127
reactC_endop10MVc,20.77904694,2.094210002,2.341081717,-0.0022,0.0633,0.049573,0.308401,0.354086,-1.100216,0.2976,1.771,0.004846,0.020777,4.0075,3.9102
reactC_endop-10MVc,20.20802193,2.085128864,2.350389445,0.0194,0.0426,0.049594,0.308058,0.353637,-1.099722,0.2925,1.7667,0.004718,0.020119,3.9936,3.9364
reactC_endol10MVc,21.92453015,2.096933342,2.334712824,0.0012,0.0597,0.049569,0.308337,0.354,-1.100576,0.2963,1.7708,0.004705,0.020033,4.0062,3.9151
reactC_endol-10MVc,18.27891088,2.08008488,2.364228803,0.0107,0.0544,0.049667,0.308761,0.353207,-1.094349,0.2986,1.7542,0.006031,0.026673,3.9915,3.9152
reactC_endoc10MVc,20.31849079,2.09424,2.3411,0.0054,0.0549,0.049623,0.308635,0.35368,-1.097079,0.3002,1.7628,0.005628,0.024572,3.9959,3.9133
reactC_endoc-10MVc,19.37006077,2.08183,2.35861,0.0134,0.0533,0.049681,0.308736,0.35288,-1.095561,0.2972,1.7564,0.005751,0.025266,3.9917,3.9195
reactC_exo,19.69612186,2.091366241,2.352202732,0.0071,0.0587,0.049695,0.308538,0.353466,-1.096362,0.298243,1.759,0.005675,0.024569,3.9969,3.9132
reactC_exo10MVc,20.56913096,2.09713595,2.340944808,0.008,0.0586,0.049678,0.308431,0.353615,-1.097379,0.297567,1.7632,0.005283,0.022557,3.9984,3.9152
reactC_exo-10MVc,19.54516586,2.097136104,2.340945055,0.0061,0.0575,0.049723,0.308694,0.353232,-1.094997,0.298602,1.7544,0.006037,0.026448,3.9959,3.913
reactC_exop10MVc,20.40849549,2.099012843,2.343838393,0.0059,0.0581,0.049698,0.308756,0.353593,-1.096777,0.299573,1.7597,0.005582,0.024072,3.9952,3.9154
reactC_exop-10MVc,20.03680096,2.083256198,2.35951617,0.0106,0.0567,0.049694,0.308552,0.353342,-1.096362,0.296967,1.7574,0.005663,0.024385,3.9968,3.9155
reactC_exol10MVc,20.63306604,1.91807,2.3429,0.0061,0.0597,0.049667,0.308348,0.353703,-1.097691,0.298247,1.7641,0.00528,0.022558,3.9991,3.9139
reactC_exol-10MVc,19.4565663,2.08282864,2.36792137,0.0076,0.0568,0.049722,0.308672,0.353211,-1.09518,0.29804,1.7542,0.005979,0.026092,3.9959,3.914
reactC_exoc10MVc,20.76504277,2.09757,2.34068,0.002,0.0591,0.049721,0.30854,0.353707,-1.097334,0.300246,1.7632,0.005572,0.024025,4.0007,3.9093
reactC_exoc-10MVc,19.52571143,2.08304,2.36735,0.0097,0.0575,0.04968,0.308575,0.35321,-1.095262,0.29698,1.7563,0.005723,0.024636,3.9966,3.9158